date,label
2017-08-12,1.2691666666666666
2017-08-13,1.2698333333333334
2017-08-14,1.2705
2017-08-15,1.2755
2017-08-16,1.2699
2017-08-17,1.2647
2017-08-18,1.2586
2017-08-19,1.258233333333333
2017-08-20,1.257866666666667
2017-08-21,1.2575
2017-08-22,1.2552
2017-08-23,1.2564
2017-08-24,1.2529
2017-08-25,1.2492
2017-08-26,1.2488666666666668
2017-08-27,1.2485333333333333
2017-08-28,1.2482
2017-08-29,1.2515
2017-08-30,1.2605
2017-08-31,1.2536
2017-09-01,1.239
2017-09-02,1.238525
2017-09-03,1.23805
2017-09-04,1.237575
2017-09-05,1.2371
2017-09-06,1.2264
2017-09-07,1.2148
2017-09-08,1.2132
2017-09-09,1.2130666666666667
2017-09-10,1.2129333333333334
2017-09-11,1.2128
2017-09-12,1.2159
2017-09-13,1.2187
2017-09-14,1.2198
2017-09-15,1.2182
2017-09-16,1.2200666666666666
2017-09-17,1.221933333333333
2017-09-18,1.2238
2017-09-19,1.2277
2017-09-20,1.2273
2017-09-21,1.2339
2017-09-22,1.2317
2017-09-23,1.2325
2017-09-24,1.2333
2017-09-25,1.2341
2017-09-26,1.237
2017-09-27,1.2412
2017-09-28,1.245
2017-09-29,1.248
2017-09-30,1.2488333333333332
2017-10-01,1.2496666666666667
2017-10-02,1.2505
2017-10-03,1.25
2017-10-04,1.2479
2017-10-05,1.2548
2017-10-06,1.2549
2017-10-07,1.2536999999999998
2017-10-08,1.2525
2017-10-09,1.2513
2017-10-10,1.2501
2017-10-11,1.2498
2017-10-12,1.2472
2017-10-13,1.2487
2017-10-14,1.2501
2017-10-15,1.2514999999999998
2017-10-16,1.2529
2017-10-17,1.2548
2017-10-18,1.2486
2017-10-19,1.2478
2017-10-20,1.2601
2017-10-21,1.2615333333333334
2017-10-22,1.2629666666666666
2017-10-23,1.2644
2017-10-24,1.2666
2017-10-25,1.2771
2017-10-26,1.2831
2017-10-27,1.2874
2017-10-28,1.286166666666667
2017-10-29,1.2849333333333337
2017-10-30,1.2837
2017-10-31,1.2893
2017-11-01,1.2885
2017-11-02,1.2822
2017-11-03,1.2764
2017-11-04,1.2758
2017-11-05,1.2752
2017-11-06,1.2746
2017-11-07,1.2785
2017-11-08,1.2729
2017-11-09,1.2692
2017-11-10,1.2683
2017-11-11,1.26955
2017-11-12,1.2708
2017-11-13,1.27205
2017-11-14,1.2733
2017-11-15,1.2773
2017-11-16,1.2745
2017-11-17,1.2783
2017-11-18,1.2786333333333333
2017-11-19,1.2789666666666668
2017-11-20,1.2793
2017-11-21,1.2778
2017-11-22,1.2729
2017-11-23,1.2715
2017-11-24,1.2708
2017-11-25,1.2717
2017-11-26,1.2726
2017-11-27,1.2735
2017-11-28,1.2807
2017-11-29,1.2853
2017-11-30,1.2888
2017-12-01,1.2729
2017-12-02,1.2717666666666667
2017-12-03,1.2706333333333333
2017-12-04,1.2695
2017-12-05,1.268
2017-12-06,1.2757
2017-12-07,1.2843
2017-12-08,1.286
2017-12-09,1.2858
2017-12-10,1.2856
2017-12-11,1.2854
2017-12-12,1.2871
2017-12-13,1.2852
2017-12-14,1.2805
2017-12-15,1.2834
2017-12-16,1.284433333333333
2017-12-17,1.2854666666666668
2017-12-18,1.2865
2017-12-19,1.2886
2017-12-20,1.2842
2017-12-21,1.2734
