date,w.bcpi_BCPI_WEEKLY,w.bcne_BCPI_WEEKLY,w.ener_BCPI_WEEKLY,w.mtls_BCPI_WEEKLY,w.fopr_BCPI_WEEKLY,w.agri_BCPI_WEEKLY,w.fish_BCPI_WEEKLY,v39078_CA.-interest_rate,v121820_U.S.-interest_rate,value_FRED_CPIAUCSL,value_FRED_DFF,value_FRED_GDPC1,value_FRED_GDPPOT,value_FRED_HSN1F,value_FRED_PAYEMS,value_FRED_PCEPILFE,value_FRED_RRSFS,value_FRED_UNRATE,fxusdcad_FXUSDCAD_rsi,rsi_FXUSDCAD_rsi,pmi_ISM_MAN_PMI,index_ISM_NONMAN_NMI,1 mo_USTREASURY_YIELD,canada_bank_sentiment_last_week,canada_bank_sentiment_last_2week,canada_bank_sentiment_last_month,fomc_statement_sentiment_last_week,fomc_statement_sentiment_last_2week,fomc_statement_sentiment_last_month,fomc_meeting_sentiment_last_week,fomc_meeting_sentiment_last_2week,fomc_meeting_sentiment_last_month,fomc_minutes_sentiment_last_week,fomc_minutes_sentiment_last_2week,fomc_minutes_sentiment_last_month,fomc_speech_sentiment_last_week,fomc_speech_sentiment_last_2week,fomc_speech_sentiment_last_month,fomc_presconf_sentiment_last_week,fomc_presconf_sentiment_last_2week,fomc_presconf_sentiment_last_month,fomc_testimony_sentiment_last_week,fomc_testimony_sentiment_last_2week,fomc_testimony_sentiment_last_month
2018-05-25,497.8828571428571,379.4642857142857,1209.0614285714285,583.1428571428571,569.9642857142858,239.99714285714285,1180.94,1.5,4.75,251.0414516129032,1.7,18643.17026373626,18662.132087912087,616.516129032258,148942.67741935485,110.07506451612905,199121.51612903227,3.954838709677419,1.2974,48.14282782680067,59.70645161290322,58.98709677419355,1.7,0.24988623702412602,0.25473973555949203,0.26802299470891483,0.3409090909090909,0.3134796238244514,0.25,0,0,0,0.1163647711699977,0.11365035518630964,0.10736842105263159,0,0,0,-0.056040073561163764,-0.057686808717326676,-0.06219366282893042,0.16856209150326795,0.16175213675213673,0.14366319444444445
2018-05-26,495.3142857142857,379.24142857142857,1197.9371428571428,583.5142857142857,569.3514285714286,239.53571428571428,1180.94,1.5,4.75,251.0523870967742,1.7,18644.154824175825,18663.10527472528,613.8709677419355,148948.5806451613,110.07948387096774,199098.87096774197,3.961290322580645,1.2983,49.69282736868599,59.7483870967742,59.00322580645162,1.7175,0.2488606465598076,0.2536130305423535,0.2666195551261633,0.34659090909090906,0.32053291536050155,0.25,0,0,0,0.11692704305233308,0.11434834786782944,0.10736842105263159,0,0,0,-0.05520494358910971,-0.05676934198746448,-0.06105085339348804,0.1699673202614379,0.1632834757834758,0.14552951388888888
2018-05-27,492.7457142857143,379.0185714285715,1186.8128571428572,583.8857142857142,568.7385714285714,239.0742857142857,1180.94,1.5,4.75,251.06332258064515,1.7,18645.139384615384,18664.078461538465,611.2258064516129,148954.48387096773,110.08390322580644,199076.2258064516,3.967741935483871,1.2992,51.24282691057131,59.79032258064516,59.01935483870968,1.735,0.2478350560954892,0.25248632552521494,0.2652161155434118,0.3522727272727273,0.3275862068965517,0.25,0,0,0,0.11748931493466847,0.11504634054934922,0.10736842105263159,0,0,0,-0.054369813617055666,-0.05585187525760229,-0.059908043958045665,0.17137254901960786,0.1648148148148148,0.14739583333333334
2018-05-28,490.1771428571429,378.7957142857143,1175.6885714285715,584.2571428571429,568.1257142857143,238.61285714285717,1180.94,1.5,4.75,251.07425806451613,1.7,18646.123945054944,18665.051648351648,608.5806451612904,148960.38709677418,110.08832258064515,199053.5806451613,3.9741935483870967,1.3001,52.79282645245663,59.83225806451613,59.03548387096775,1.7525,0.2468094656311708,0.2513596205080764,0.26381267596066027,0.3579545454545454,0.3346394984326019,0.25,0,0,0,0.11805158681700384,0.11574433323086901,0.10736842105263159,0,0,0,-0.05353468364500162,-0.0549344085277401,-0.05876523452260328,0.17277777777777778,0.16634615384615384,0.14926215277777777
2018-05-29,487.60857142857145,378.5728571428572,1164.5642857142857,584.6285714285714,567.5128571428571,238.15142857142857,1180.94,1.5,4.75,251.08519354838708,1.7,18647.108505494503,18666.02483516484,605.9354838709678,148966.29032258064,110.09274193548389,199030.93548387097,3.9806451612903215,1.302,48.64864864864866,59.8741935483871,59.05161290322581,1.77,0.24578387516685235,0.2502329154909379,0.26240923637790875,0.36363636363636365,0.34169278996865204,0.25,0,0,0,0.11861385869933923,0.11644232591238879,0.10736842105263159,0,0,0,-0.052699553672947576,-0.0540169417978779,-0.0576224250871609,0.1741830065359477,0.16787749287749287,0.15112847222222223
2018-05-30,485.04,378.35,1153.44,585.0,566.9,237.69,1180.94,1.5,4.75,251.0961290322581,1.7,18648.093065934067,18666.998021978023,603.2903225806451,148972.1935483871,110.09716129032256,199008.29032258064,3.987096774193549,1.2897,50.70354196991747,59.91612903225806,59.06774193548387,1.77,0.24475828470253394,0.24910621047379933,0.26100579679515723,0.3693181818181818,0.3487460815047022,0.25,0,0,0,0.11917613058167462,0.11714031859390857,0.10736842105263159,0,0,0,-0.051864423700893524,-0.05309947506801571,-0.05647961565171852,0.17558823529411766,0.1694088319088319,0.15299479166666666
2018-05-31,483.7728571428572,378.42285714285714,1147.5228571428572,585.7614285714286,566.8928571428571,237.48142857142855,1177.7342857142858,1.5,4.75,251.107064516129,1.7,18649.077626373622,18667.97120879121,600.6451612903226,148978.09677419355,110.10158064516128,198985.64516129036,3.9935483870967743,1.2948,46.88200986989679,59.95806451612904,59.08387096774194,1.76,0.24373269423821553,0.2479795054566608,0.2596023572124057,0.375,0.3557993730407524,0.2636363636363636,0,0,0,0.11973840246400999,0.11783831127542836,0.1087178735702365,0,0,0,-0.05102929372883948,-0.05218200833815352,-0.05533680621627614,0.17699346405228758,0.17094017094017094,0.15486111111111112
2018-06-01,482.5057142857143,378.4957142857143,1141.6057142857144,586.5228571428571,566.8857142857142,237.27285714285716,1174.5285714285717,1.5,4.75,251.118,1.7,18650.062186813186,18668.944395604394,598.0,148984.0,110.106,198963.0,4.0,1.2964,49.541870871510696,60.0,59.1,1.74,0.24270710377389712,0.24685280043952226,0.25819891762965425,0.3806818181818182,0.3628526645768025,0.2772727272727273,0,0,0,0.12030067434634538,0.11853630395694814,0.11006732608784142,0,0,0,-0.05019416375678543,-0.051264541608291324,-0.05419399678083376,0.1783986928104575,0.17247150997150998,0.15672743055555555
2018-06-02,481.23857142857145,378.5685714285714,1135.6885714285715,587.2842857142857,566.8785714285714,237.0642857142857,1171.3228571428572,1.5,4.75,251.12483333333333,1.7,18651.046747252745,18669.917582417584,598.0666666666667,148986.2,110.1104,199001.76666666663,3.993333333333333,1.2952,47.1169590227177,59.946666666666665,58.986666666666665,1.75,0.2416815133095787,0.24572609542238372,0.2567954780469027,0.38636363636363635,0.36990595611285265,0.2909090909090909,0,0,0,0.12086294622868075,0.11923429663846793,0.11141677860544634,0,0,0,-0.04935903378473138,-0.050347074878429134,-0.05305118734539138,0.17980392156862746,0.174002849002849,0.15859375
2018-06-03,479.9714285714286,378.6414285714286,1129.7714285714285,588.0457142857143,566.8714285714286,236.85571428571427,1168.1171428571429,1.5,4.75,251.13166666666663,1.7,18652.03130769231,18670.89076923077,598.1333333333333,148988.4,110.1148,199040.53333333333,3.986666666666667,1.294,44.69204717392471,59.89333333333333,58.873333333333335,1.76,0.24065592284526027,0.24459939040524517,0.2553920384641512,0.39204545454545453,0.3769592476489028,0.30454545454545456,0,0,0,0.12142521811101614,0.11993228931998771,0.11276623112305126,0,0,0,-0.048523903812677335,-0.049429608148566936,-0.051908377909949,0.18120915032679738,0.17553418803418802,0.16046006944444444
