date,unscheduled,forecast,confcall,ChairPerson,Rate,RateDiff,RateDecision,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1982-11-16,False,False,False,Paul Volcker,9.0,-0.5,-1,1982-07-01,6870.456833333334,-0.3521246213396299,0.4729213873341993,1982-07-01,7190.734726333333,0.7365793500066887,2.8040387886849536,1982-09-01,47.29633333333334,0.48703455536399237,6.469192958925627,1982-10-01,97.31666666666666,0.537400879900929,6.098327106023344,1982-10-01,-9.85,-0.18333333333333326,-2.3333333333333335,1982-10-01,89491.0,-207.16666666666666,-1977.1666666666667,1982-10-01,38.11666666666667,0.2666666666666669,-8.833333333333336,,,,,,,,,1982-10-01,416.1666666666667,6.2478509347425275,7.200279740787887,,,,,,,,,
1982-12-21,False,False,False,Paul Volcker,8.5,0.0,0,1982-07-01,6870.456833333334,-0.3521246213396299,0.4729213873341993,1982-07-01,7190.734726333333,0.7365793500066887,2.8040387886849536,1982-10-01,47.54533333333333,0.526577185833439,6.371756628769075,1982-11-01,97.66666666666667,0.3625166765280728,5.692607654229914,1982-11-01,-10.083333333333334,-0.2333333333333334,-2.4333333333333336,1982-11-01,89270.83333333333,-220.16666666666666,-2176.5,1982-11-01,38.73333333333333,0.6166666666666671,-5.316666666666669,,,,,,,,,1982-11-01,444.5,6.604905998656,17.666812621191188,,,,,,,,,
1983-01-14,False,False,True,Paul Volcker,8.5,0.0,0,1982-07-01,6870.456833333334,-0.3521246213396299,0.4729213873341993,1982-07-01,7190.734726333333,0.7365793500066887,2.8040387886849536,1982-11-01,47.7815,0.49710871222965175,6.261683345618604,1982-12-01,97.78333333333335,0.1203249093102382,5.133173800898071,1982-12-01,-10.283333333333333,-0.20000000000000018,-2.466666666666667,1982-12-01,89088.5,-182.33333333333334,-2259.6666666666665,1982-12-01,39.48333333333333,0.75,-2.416666666666668,,,,,,,,,1982-12-01,469.6666666666667,6.219765104151388,21.80810426478965,,,,,,,,,
1983-01-21,False,False,True,Paul Volcker,8.5,0.0,0,1982-07-01,6870.456833333334,-0.3521246213396299,0.4729213873341993,1982-07-01,7190.734726333333,0.7365793500066887,2.8040387886849536,1982-11-01,47.7815,0.49710871222965175,6.261683345618604,1982-12-01,97.78333333333335,0.1203249093102382,5.133173800898071,1982-12-01,-10.283333333333333,-0.20000000000000018,-2.466666666666667,1982-12-01,89088.5,-182.33333333333334,-2259.6666666666665,1982-12-01,39.48333333333333,0.75,-2.416666666666668,,,,,,,,,1982-12-01,469.6666666666667,6.219765104151388,21.80810426478965,,,,,,,,,
1983-01-28,False,False,True,Paul Volcker,8.5,0.0,0,1982-07-01,6870.456833333334,-0.3521246213396299,0.4729213873341993,1982-07-01,7190.734726333333,0.7365793500066887,2.8040387886849536,1982-11-01,47.7815,0.49710871222965175,6.261683345618604,1982-12-01,97.78333333333335,0.1203249093102382,5.133173800898071,1982-12-01,-10.283333333333333,-0.20000000000000018,-2.466666666666667,1982-12-01,89088.5,-182.33333333333334,-2259.6666666666665,1982-12-01,39.48333333333333,0.75,-2.416666666666668,,,,,,,,,1982-12-01,469.6666666666667,6.219765104151388,21.80810426478965,,,,,,,,,
1983-02-09,False,False,False,Paul Volcker,8.5,0.0,0,1982-10-01,6854.936333333334,-0.2219563068707369,-0.2623880936762741,1982-10-01,7245.089937,0.7555690468618929,2.916221607824314,1982-12-01,48.00416666666666,0.46673747640577345,6.142696175656582,1982-12-01,97.78333333333335,0.1203249093102382,5.133173800898071,1983-01-01,-10.383333333333335,-0.09999999999999994,-2.3333333333333335,1983-01-01,89000.0,-88.5,-2175.5,1983-01-01,40.75,1.2666666666666668,0.2666666666666657,,,,,,,,,1983-01-01,504.1666666666667,7.9459154387470186,33.66563982415614,,,,,,,,,
1983-03-29,False,False,False,Paul Volcker,8.625,0.125,1,1982-10-01,6854.936333333334,-0.2219563068707369,-0.2623880936762741,1982-10-01,7245.089937,0.7555690468618929,2.916221607824314,1983-01-01,48.23116666666667,0.47269362075666543,6.027782687959189,1983-02-01,97.89999999999999,0.051368444976414775,4.244781420528649,1983-02-01,-10.483333333333333,-0.09999999999999994,-2.1833333333333336,1983-02-01,88925.66666666667,-74.33333333333333,-2082.8333333333335,1983-02-01,43.43333333333333,2.6833333333333336,4.616666666666666,,,,,,,,,1983-02-01,530.0,5.950955530385048,41.382414002117535,6.329045614927982,2.6040261857623155,7.1472432943578745,-2.539009940627573,-6.264029369793239,-1.7208122611976813,,,
1983-04-29,False,False,True,Paul Volcker,8.625,0.0,0,1982-10-01,6854.936333333334,-0.2219563068707369,-0.2623880936762741,1982-10-01,7245.089937,0.7555690468618929,2.916221607824314,1983-02-01,48.452,0.45792978803614953,5.947211930298617,1983-03-01,97.96666666666665,0.06837524769750224,4.0196749826886835,1983-03-01,-10.516666666666667,-0.03333333333333351,-1.9833333333333336,1983-03-01,88910.16666666667,-15.5,-1924.5,1983-03-01,45.949999999999996,2.516666666666667,8.083333333333334,,,,,,,,,1983-03-01,549.1666666666666,3.928956177424841,44.22418007917773,6.0389667414736765,2.1501998913454585,7.068338071853736,-2.6561721474152127,-6.54493899754343,-1.6268008170351527,-0.2900788734543056,-0.45382629441685696,-0.07890522250413845
1983-05-24,False,False,False,Paul Volcker,8.75,0.125,1,1983-01-01,6840.595,-0.20190257918234308,-0.7447730009830106,1983-01-01,7300.7371595,0.7678714287003591,3.005781814631273,1983-03-01,48.65366666666667,0.41715046974122627,5.862317624278959,1983-04-01,98.08333333333333,0.11906541651750313,3.8476549969642035,1983-04-01,-10.483333333333333,0.03333333333333351,-1.7166666666666668,1983-04-01,88986.33333333333,76.16666666666667,-1643.3333333333333,1983-04-01,48.416666666666664,2.4666666666666672,10.916666666666666,,,,,,,,,1983-04-01,575.5,5.138102856370178,53.119034961901754,5.919673334528893,2.014791994515737,6.99951731193375,-2.6706044432488856,-6.575485783262041,-1.5907604658440275,-0.11929340694478352,-0.13540789682972143,-0.06882075991998615
1983-06-23,False,False,True,Paul Volcker,9.0,0.25,1,1983-01-01,6840.595,-0.20190257918234308,-0.7447730009830106,1983-01-01,7300.7371595,0.7678714287003591,3.005781814631273,1983-04-01,48.82966666666667,0.3622458759448833,5.754782604938996,1983-05-01,98.28333333333335,0.203531266314111,3.6749004174114965,1983-05-01,-10.366666666666667,0.11666666666666685,-1.4166666666666667,1983-05-01,89129.33333333333,143.0,-1323.0,1983-05-01,51.23333333333334,2.8166666666666664,13.833333333333334,,,,,,,,,1983-05-01,593.8333333333334,3.247864263545378,57.76744973793433,5.749217625059866,1.826775665989333,7.017685038990489,-2.8292545971623566,-6.751696556232889,-1.5607871832317335,-0.1704557094690271,-0.18801632852640404,0.018167727056739302
1983-07-13,False,False,False,Paul Volcker,9.25,0.25,1,1983-01-01,6840.595,-0.20190257918234308,-0.7447730009830106,1983-01-01,7300.7371595,0.7678714287003591,3.005781814631273,1983-05-01,48.987833333333334,0.3246940685413882,5.614616816056568,1983-06-01,98.56666666666666,0.2881538250150107,3.449651997765802,1983-06-01,-10.25,0.11666666666666685,-1.1166666666666665,1983-06-01,89337.66666666667,208.33333333333334,-943.0,1983-06-01,53.68333333333334,2.4500000000000006,16.200000000000003,,,,,,,,,1983-06-01,615.5,3.9143388260553453,68.09104466765618,5.61228042404217,1.6781313856000537,7.086023347715546,-3.020358464846718,-6.954507503288836,-1.5466155411733418,-0.13693720101769546,-0.14864428038927935,0.06833830872505686
1983-08-23,False,False,False,Paul Volcker,9.5,0.0,0,1983-04-01,6865.090166666666,0.3589601752020859,-0.41666771318539464,1983-04-01,7357.482985333333,0.7771279680713895,3.0719393605910223,1983-06-01,49.15866666666667,0.3493686189540699,5.477183135437058,1983-07-01,98.88333333333333,0.3211048577209682,3.2248765378208506,1983-07-01,-10.083333333333334,0.16666666666666666,-0.7499999999999997,1983-07-01,89578.83333333333,241.16666666666666,-527.8333333333334,1983-07-01,56.61666666666667,2.9333333333333336,19.100000000000005,,,,,,,,,1983-07-01,619.5,0.8108895335155938,68.6656823488156,5.447340914584055,1.6321526049737805,7.272364609253933,-3.396409085415945,-7.21159739502622,-1.5713853907460673,-0.1649395094581152,-0.04597878062627325,0.18634126153838704
1983-09-08,False,False,True,Paul Volcker,9.5,0.0,0,1983-04-01,6865.090166666666,0.3589601752020859,-0.41666771318539464,1983-04-01,7357.482985333333,0.7771279680713895,3.0719393605910223,1983-07-01,49.32966666666667,0.34734370655737584,5.331720922496185,1983-07-01,98.88333333333333,0.3211048577209682,3.2248765378208506,1983-08-01,-9.933333333333334,0.15000000000000005,-0.44999999999999957,1983-08-01,89780.83333333333,202.0,-125.83333333333333,1983-08-01,58.06666666666667,1.4500000000000004,20.550000000000004,,,,,,,,,1983-08-01,621.1666666666666,0.44853371030440653,66.42700531561802,5.42080571814168,1.6942651341851327,7.338603285427785,-3.5118331707472086,-7.2383737547037565,-1.5940356034611038,-0.02653519644237523,0.06211252921135224,0.06623867617385226
1983-10-04,False,False,False,Paul Volcker,9.375,0.0,0,1983-04-01,6865.090166666666,0.3589601752020859,-0.41666771318539464,1983-04-01,7357.482985333333,0.7771279680713895,3.0719393605910223,1983-08-01,49.51333333333333,0.3714788448087152,5.198760049729072,1983-08-01,99.23333333333333,0.35418088379422513,3.0535117041976747,1983-09-01,-9.75,0.18333333333333357,-0.08333333333333275,1983-09-01,90140.33333333333,359.5,442.1666666666667,1983-09-01,59.5,1.4333333333333336,21.650000000000006,,,,,,,,,1983-09-01,623.1666666666666,0.48918108191263254,60.93451158783017,5.378038134107876,1.7955501043386353,7.430841095460315,-3.680989643669902,-7.263477673439142,-1.6281866823174624,-0.042767584033803985,0.10128497015350257,0.09223781003252984
1983-11-15,False,False,False,Paul Volcker,9.375,0.0,0,1983-07-01,6930.968666666668,0.9510616374947277,0.9045853979806394,1983-07-01,7415.295493333332,0.785617622995754,3.1220994223576217,1983-09-01,49.72050000000001,0.41790922734553315,5.126171653990268,1983-10-01,99.95,0.3345989277249298,2.7077734360915326,1983-10-01,-9.516666666666667,0.2333333333333331,0.33333333333333365,1983-10-01,90499.66666666667,359.3333333333333,1008.6666666666666,1983-10-01,61.20000000000001,1.7000000000000004,23.08333333333334,,,,,,,,,1983-10-01,622.1666666666666,-0.027420825540564204,51.51219103719103,5.405467325533463,2.076474433893847,7.537452446027033,-3.828560452244315,-7.15755334388393,-1.696575331750744,0.027429191425587085,0.2809243295552115,0.10661135056671789
1983-12-20,False,False,False,Paul Volcker,9.375,0.0,0,1983-07-01,6930.968666666668,0.9510616374947277,0.9045853979806394,1983-07-01,7415.295493333332,0.785617622995754,3.1220994223576217,1983-10-01,49.91766666666667,0.39678469703139463,4.9903126456441225,1983-11-01,100.26666666666665,0.31672571906224606,2.6614702432815616,1983-11-01,-9.25,0.2666666666666666,0.8333333333333336,1983-11-01,90871.5,371.8333333333333,1600.6666666666667,1983-11-01,62.85,1.6499999999999997,24.11666666666667,,,,,,,,,1983-11-01,618.8333333333334,-0.39017098095767705,42.066994486850085,5.477010936715388,2.404275593874272,7.595122549807747,-3.882711285506834,-6.955446628347951,-1.7645996724144744,0.07154361118192476,0.32780115998042536,0.05767010378071369
