date,unscheduled,forecast,confcall,ChairPerson,Rate,RateDiff,RateDecision,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1983-06-23,False,False,True,Paul Volcker,9.0,0.25,1,1983-01-01,6896.561,1.3178475763483752,1.4314555774158573,1983-01-01,7442.965381999999,0.7792291794192784,3.1502232745541994,1983-04-01,49.222,0.3036292869806226,5.463661295851912,1983-05-01,99.2,0.4048582995951474,3.44108446298227,1983-05-01,-10.1,0.09999999999999964,-0.6999999999999993,1983-05-01,89644.0,280.0,-463.0,1983-05-01,56.1,1.8999999999999986,20.6,,,,,,,,,1983-05-01,664.0,4.075235109717868,72.91666666666666,5.3831689075405365,1.5708458713032059,7.201873119304519,-3.3668310924594635,-7.179154128696794,-1.5481268806954809,-0.1453702141983868,-0.1453702141983868,0.12805553212975784
1983-07-13,False,False,False,Paul Volcker,9.25,0.25,1,1983-01-01,6896.561,1.3178475763483752,1.4314555774158573,1983-01-01,7442.965381999999,0.7792291794192784,3.1502232745541994,1983-05-01,49.293,0.14424444354150168,5.041873548277111,1983-06-01,99.4,0.2016129032258093,2.474226804123717,1983-06-01,-10.1,0.0,-0.5,1983-06-01,90021.0,377.0,156.0,1983-06-01,57.5,1.3999999999999986,19.200000000000003,,,,,,,,,1983-06-01,651.0,-1.957831325301205,75.94594594594595,4.750487286178336,0.9381642499410052,7.509275362508848,-4.249512713821664,-8.061835750058995,-1.4907246374911516,-0.6326816213622006,-0.6326816213622006,0.3074022432043293
1983-08-23,False,False,False,Paul Volcker,9.5,0.0,0,1983-04-01,7053.5,2.2756124393012738,3.2685328840770245,1983-04-01,7501.889906999999,0.791680761306535,3.1725472085587256,1983-06-01,49.523,0.4665976913557786,5.006149018277436,1983-07-01,99.8,0.40241448692152054,2.358974358974356,1983-07-01,-9.4,0.6999999999999993,0.40000000000000036,1983-07-01,90437.0,416.0,916.0,1983-07-01,63.6,6.100000000000001,25.200000000000003,,,,,,,,,1983-07-01,606.0,-6.912442396313365,61.6,5.427672084101076,2.3461206407859976,7.7230819038820995,-4.072327915898924,-7.153879359214002,-1.7769180961179005,0.6771847979227399,1.4079563908449924,0.21380654137325106
1983-09-08,False,False,True,Paul Volcker,9.5,0.0,0,1983-04-01,7053.5,2.2756124393012738,3.2685328840770245,1983-04-01,7501.889906999999,0.791680761306535,3.1725472085587256,1983-07-01,49.856,0.6724148375502259,5.030757562989799,1983-07-01,99.8,0.40241448692152054,2.358974358974356,1983-08-01,-9.5,-0.09999999999999964,0.3000000000000007,1983-08-01,90129.0,-308.0,766.0,1983-08-01,63.1,-0.5,24.800000000000004,,,,,,,,,1983-08-01,572.0,-5.6105610561056105,40.54054054054054,5.464584901169621,2.383033457854543,7.717544981321818,-4.035415098830379,-7.116966542145457,-1.7824550186781822,0.03691281706854532,0.03691281706854532,-0.00553692256028171
1983-10-04,False,False,False,Paul Volcker,9.375,0.0,0,1983-04-01,7053.5,2.2756124393012738,3.2685328840770245,1983-04-01,7501.889906999999,0.791680761306535,3.1725472085587256,1983-08-01,50.113,0.5154845956354258,5.089544100994002,1983-08-01,100.1,0.3006012024048068,2.4564994882292646,1983-09-01,-9.2,0.3000000000000007,0.9000000000000004,1983-09-01,91247.0,1118.0,2064.0,1983-09-01,62.5,-0.6000000000000014,23.700000000000003,,,,,,,,,1983-09-01,608.0,6.293706293706294,26.403326403326403,5.552764708175925,2.4712132648608467,7.598068010270873,-3.822235291824075,-6.903786735139153,-1.7769319897291274,0.08817980700630379,0.08817980700630379,-0.11947697105094512
1983-11-15,False,False,False,Paul Volcker,9.375,0.0,0,1983-07-01,7194.504,1.9990642943219665,5.737169684511145,1983-07-01,7562.531152,0.8083462401043301,3.2038169886043613,1983-09-01,50.316,0.40508450900964416,5.125044397551351,1983-10-01,100.8,0.3984063745019835,2.7522935779816544,1983-10-01,-8.8,0.3999999999999986,1.5999999999999996,1983-10-01,91520.0,273.0,2613.0,1983-10-01,64.4,1.9000000000000057,25.000000000000007,,,,,,,,,1983-10-01,632.0,3.9473684210526314,31.666666666666664,6.193139525339124,3.69871245435122,7.413943131847317,-3.1818604746608763,-5.67628754564878,-1.9610568681526832,0.6403748171631989,1.2274991894903735,-0.18412487842355585
1983-12-20,False,False,False,Paul Volcker,9.375,0.0,0,1983-07-01,7194.504,1.9990642943219665,5.737169684511145,1983-07-01,7562.531152,0.8083462401043301,3.2038169886043613,1983-10-01,50.405,0.17688210509579186,4.648507245775037,1983-11-01,101.1,0.29761904761904484,3.1632653061224434,1983-11-01,-8.5,0.3000000000000007,2.3000000000000007,1983-11-01,91875.0,355.0,3089.0,1983-11-01,66.0,1.5999999999999943,26.799999999999997,,,,,,,,,1983-11-01,644.0,1.89873417721519,16.24548736462094,5.478333797674653,2.983906726686749,7.521163990996987,-3.8966662023253473,-6.391093273313251,-1.8538360090030128,-0.714805727664471,-0.714805727664471,0.10722085914967039
1984-01-31,False,False,False,Paul Volcker,9.375,0.0,0,1983-10-01,7344.597,2.086217479342563,7.899974981110956,1983-10-01,7625.640627,0.8345020170040577,3.252688269499674,1983-11-01,50.523,0.23410375954766807,4.5072811517458256,1983-12-01,101.4,0.29673590504452163,3.7871033776867993,1983-12-01,-8.3,0.1999999999999993,2.5,1983-12-01,92230.0,355.0,3459.0,1983-12-01,69.9,3.9000000000000057,27.10000000000001,,,,,,,,,1983-12-01,773.0,20.031055900621116,48.368522072936656,5.266494656630835,2.7720675856429313,7.55293986215356,-4.108505343369165,-6.602932414357069,-1.8220601378464396,-0.21183914104381785,-0.21183914104381785,0.03177587115657321
1984-03-20,False,False,True,Paul Volcker,9.375,0.0,0,1983-10-01,7344.597,2.086217479342563,7.899974981110956,1983-10-01,7625.640627,0.8345020170040577,3.252688269499674,1984-01-01,50.729,0.334256329113918,3.88900266229777,1984-02-01,102.6,0.4897159647404506,4.693877551020402,1984-02-01,-7.8,0.20000000000000018,2.6000000000000005,1984-02-01,93157.0,484.0,4240.0,1984-02-01,61.3,0.7999999999999972,6.899999999999999,,,,,,,,,1984-02-01,696.0,0.723589001447178,23.843416370106763,4.955934255643058,3.0783645178394607,7.506995322324081,-4.419065744356942,-6.296635482160539,-1.868004677675919,-0.31056040098777693,0.3062969321965294,-0.045944539829479325
1984-03-27,False,False,False,Paul Volcker,10.5,1.125,1,1983-10-01,7344.597,2.086217479342563,7.899974981110956,1983-10-01,7625.640627,0.8345020170040577,3.252688269499674,1984-01-01,50.729,0.334256329113918,3.88900266229777,1984-02-01,102.6,0.4897159647404506,4.693877551020402,1984-02-01,-7.8,0.20000000000000018,2.6000000000000005,1984-02-01,93157.0,484.0,4240.0,1984-02-01,61.3,0.7999999999999972,6.899999999999999,,,,,,,,,1984-02-01,696.0,0.723589001447178,23.843416370106763,4.955934255643058,3.0783645178394607,7.506995322324081,-4.419065744356942,-6.296635482160539,-1.868004677675919,0.0,0.0,0.0
