date,FXUSDCAD,RSI
2017-01-03,1.3435,
2017-01-04,1.3315,
2017-01-05,1.3244,
2017-01-06,1.3214,
2017-01-09,1.324,
2017-01-10,1.3213,
2017-01-11,1.325,
2017-01-12,1.3106,
2017-01-13,1.3141,
2017-01-16,1.3152,
2017-01-17,1.3057,
2017-01-18,1.3099,
2017-01-19,1.3303,
2017-01-20,1.3356,
2017-01-23,1.3291,41.79614136930168
2017-01-24,1.3174,44.73684210526318
2017-01-25,1.3088,42.25060407317908
2017-01-26,1.3103,39.57322987390884
2017-01-27,1.3123,38.92156862745094
2017-01-30,1.3114,33.952125061065004
2017-01-31,1.303,38.69653767820768
2017-02-01,1.3074,41.666666666666615
2017-02-02,1.3016,42.236699239956465
2017-02-03,1.3016,46.17801047120424
2017-02-06,1.3099,51.27906976744185
2017-02-07,1.3167,53.84615384615384
2017-02-08,1.3157,44.071190211345844
2017-02-09,1.3127,46.17314930991224
2017-02-10,1.3084,48.29396325459316
2017-02-13,1.3082,53.48837209302331
2017-02-14,1.307,60.92715231788086
2017-02-15,1.3088,66.10864366245293
2017-02-16,1.3055,65.89893434169811
2017-02-17,1.3102,63.79367720465905
2017-02-21,1.3148,68.87417218543064
2017-02-22,1.3181,69.03820816864311
2017-02-23,1.311,72.58347978910375
2017-02-24,1.3095,63.13054111892375
2017-02-27,1.3118,61.09510086455336
2017-02-28,1.3249,55.2980132450332
2017-03-01,1.3338,62.79349789283556
2017-03-02,1.3387,65.33483398987075
2017-03-03,1.3405,67.20098643649831
2017-03-06,1.3404,60.634390651085276
2017-03-07,1.3417,62.707182320442335
2017-03-08,1.3475,62.447844228094844
2017-03-09,1.3513,63.61355081555841
2017-03-10,1.3464,63.19796954314732
2017-03-13,1.3447,59.63060686015856
2017-03-14,1.3484,63.121422115095015
2017-03-15,1.3428,71.19437939110124
2017-03-16,1.3319,62.2313203684749
2017-03-17,1.3337,53.842327779159476
2017-03-20,1.3358,46.29629629629644
2017-03-21,1.3317,40.43645699614892
2017-03-22,1.336,38.92617449664438
2017-03-23,1.3336,41.720036596523364
2017-03-24,1.3374,39.767441860464984
2017-03-27,1.3373,42.28412256267413
2017-03-28,1.3374,43.3746425166826
2017-03-29,1.3364,38.29639889196677
2017-03-30,1.3304,41.67294649585533
2017-03-31,1.331,37.980769230769276
2017-04-03,1.3384,32.98701298701286
2017-04-04,1.3425,41.2872304005478
2017-04-05,1.3409,52.6544821583985
2017-04-06,1.3418,55.813953488371894
2017-04-07,1.3395,54.45205479452051
2017-04-10,1.3349,57.55656108597242
2017-04-11,1.3332,52.275740167918556
2017-04-12,1.33,53.26429536244942
2017-04-13,1.3275,50.55475156777643
2017-04-17,1.3289,47.78841769265852
2017-04-18,1.3377,50.15237265999147
2017-04-19,1.346,55.275697753573695
2017-04-20,1.3482,62.937062937062805
2017-04-21,1.3506,64.08518877057104
2017-04-24,1.3492,60.235798499463925
2017-04-25,1.3592,61.810154525386125
2017-04-26,1.3593,64.98884995221385
2017-04-27,1.3624,64.4451633775474
2017-04-28,1.3662,62.86802909594736
2017-05-01,1.366,66.94490818030029
2017-05-02,1.372,70.94206103494018
2017-05-03,1.3714,77.13329615170024
2017-05-04,1.3743,86.27573300062281
2017-05-05,1.3712,86.65048543689223
2017-05-08,1.3705,76.49088220798338
2017-05-09,1.3728,76.05985037406427
2017-05-10,1.3672,76.11940298507405
2017-05-11,1.3707,67.5718849840252
2017-05-12,1.3714,66.01416076634709
2017-05-15,1.3641,57.851239669421204
2017-05-16,1.3596,52.204447912602554
2017-05-17,1.3614,50.450450450450305
2017-05-18,1.3611,47.70206022186993
2017-05-19,1.3544,47.588932806323996
2017-05-23,1.349,38.35616438356172
2017-05-24,1.346,34.782608695652314
2017-05-25,1.3453,33.78561736770686
2017-05-26,1.3456,35.31914893617014
2017-05-29,1.3446,29.115531104527946
2017-05-30,1.3469,29.12172573189514
2017-05-31,1.35,32.25503984997647
2017-06-01,1.35,31.223227034745378
2017-06-02,1.3504,36.865101037684575
2017-06-05,1.3483,36.91588785046727
2017-06-06,1.3461,39.69849246231176
2017-06-07,1.3492,39.07473309608554
2017-06-08,1.3503,41.09436069235043
2017-06-09,1.3453,45.48895899053627
2017-06-12,1.3415,46.188340807174804
2017-06-13,1.3238,44.81044126786794
2017-06-14,1.3209,27.424876378851337
2017-06-15,1.3283,31.558185404339298
2017-06-16,1.3232,37.59259259259265
2017-06-19,1.322,38.37357052096577
2017-06-20,1.3267,40.29850746268656
2017-06-21,1.331,40.047961630695326
2017-06-22,1.3241,45.17543859649114
2017-06-23,1.3268,42.38683127572013
2017-06-26,1.3238,38.95390494387379
2017-06-27,1.3188,41.478439425051405
2017-06-28,1.306,45.92572802564776
2017-06-29,1.3015,42.39210850801475
2017-06-30,1.2977,42.101396032329156
2017-07-04,1.2941,48.73830450808044
2017-07-05,1.2982,48.35443037974679
2017-07-06,1.2946,43.64640883977881
2017-07-07,1.2887,44.46529080675406
2017-07-10,1.2888,41.99645599527442
2017-07-11,1.292,33.916554508748106
2017-07-12,1.2794,31.639401322659268
2017-07-13,1.2743,29.313124798452122
2017-07-14,1.2672,29.168309026409332
2017-07-17,1.2669,27.819548872180633
2017-07-18,1.2628,29.376736800317744
2017-07-19,1.2595,32.77236492471228
2017-07-20,1.2585,33.303330333033486
2017-07-21,1.2549,34.611786716557646
2017-07-24,1.2512,34.611786716557646
2017-07-25,1.2507,26.51570489408374
2017-07-26,1.2505,27.773527161438835
2017-07-27,1.252,30.427493713328204
2017-07-28,1.2447,38.38158871566513
