Classifier,Train Accuracy,Train F1,Test Accuracy,Test F1
AdaDTC,0.03134796238244514,0.01908892429338526,0.2375,0.14047619047619048
ExtraTree,0.14106583072100312,0.07148959304131718,0.1625,0.07142857142857142
RandomForest,0.025078369905956112,0.01518294439642754,0.125,0.07094017094017094
GradientBoost,0.05329153605015674,0.02921940928270042,0.1125,0.05844541139240506
SVM,0.07210031347962383,0.04218804129425621,0.0875,0.05006602112676056
Voting,0.009404388714733543,0.005597014925373135,0.175,0.09038461538461538
XGBoost,0.6990595611285266,0.5171707600305017,0.75,0.40404040404040403
