date,target,prev_decision,GDP_diff_prev,GDP_diff_year,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_diff_prev,PCE_diff_year,CPI_diff_prev,CPI_diff_year,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_value,PMI_diff_prev,PMI_diff_year,Rsales_diff_prev,Rsales_diff_year,Hsales_diff_prev,Hsales_diff_year,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff,GDP_diff_prev_ma3,GDP_diff_year_ma3,GDPPOT_diff_prev_ma3,GDPPOT_diff_year_ma3,PCE_diff_prev_ma3,PCE_diff_year_ma3,CPI_diff_prev_ma3,CPI_diff_year_ma3,Unemp_value_ma3,Unemp_diff_prev_ma3,Unemp_diff_year_ma3,Employ_value_ma3,Employ_diff_prev_ma3,Employ_diff_year_ma3,PMI_value_ma3,PMI_diff_prev_ma3,PMI_diff_year_ma3,Rsales_diff_prev_ma3,Rsales_diff_year_ma3,Hsales_diff_prev_ma3,Hsales_diff_year_ma3,Taylor-Rate_ma3,Balanced-Rate_ma3,Inertia-Rate_ma3,Taylor_diff_ma3,Balanced_diff_ma3,Inertia_diff_ma3
1983-02-09,0,0,0.039946273878294476,-1.443156178740442,0.7867753054326397,3.127889034518848,0.318550388879688,5.830751101994494,-0.3061224489795889,3.825717321997884,-10.4,0.40000000000000036,-1.8000000000000007,88990.0,219.0,-1575.0,46.0,3.200000000000003,7.799999999999997,0.23541112804203218,2.1458987129702587,11.708253358925145,58.152173913043484,-2.832711703927771,-6.911550060847283,-1.5132674908729076,-0.45005480439223255,-0.8219338394186781,0.12329007591280217,0.03794850499891703,-1.669881919373397,0.7781498523814604,3.0686696874761483,0.44038750886694694,5.940830265152624,0.00045244440248269163,4.445149725547759,-10.666666666666666,0.0,-2.2000000000000006,88849.0,27.666666666666668,-2028.0,42.666666666666664,2.2000000000000006,5.3,0.20000349769027634,2.219597629196419,7.0560804417436005,39.06090943037652,-2.4754458119174396,-6.2195930373131505,-1.6853943777363611,-0.0980101290624038,-0.14163039302649594,-0.09208877437935836
1983-03-29,1,0,0.039946273878294476,-1.443156178740442,0.7867753054326397,3.127889034518848,0.6845643119303905,5.9035308406350335,0.10214504596526487,3.4846884899683177,-10.4,0.0,-1.5,88917.0,-73.0,-1646.0,54.4,8.399999999999999,16.1,0.23541112804203218,2.1458987129702587,-3.436426116838488,53.97260273972603,-2.7235420959669625,-6.802380452886474,-1.5296429320670288,0.10916960796080843,0.10916960796080843,-0.016375441194121265,0.03794850499891703,-1.669881919373397,0.7781498523814604,3.0686696874761483,0.4575566629241836,5.87238340806707,0.0002436292238172146,3.6726776435367565,-10.533333333333333,0.13333333333333344,-1.8666666666666671,88892.66666666667,43.666666666666664,-1781.6666666666667,47.73333333333333,5.0666666666666655,9.633333333333333,0.20000349769027634,2.219597629196419,0.7717161805752148,42.0430510067948,-2.6215589547760803,-6.564041665519229,-1.5653937501721158,-0.37389092063641804,-0.572226405983856,-0.10777715021353185
1983-04-29,0,1,0.039946273878294476,-1.443156178740442,0.7867753054326397,3.127889034518848,0.37067376612738995,5.887309337596684,0.10204081632652481,3.590285110876443,-10.3,0.09999999999999964,-1.3000000000000007,89090.0,173.0,-1344.0,53.9,-0.5,17.1,0.23541112804203218,2.1458987129702587,6.049822064056939,59.35828877005348,-2.8728743505244854,-6.951712707443997,-1.544743093883401,-0.02433225455752286,-0.02433225455752286,0.10989983818362781,0.03794850499891703,-1.669881919373397,0.7781498523814604,3.0686696874761483,0.45792948897915625,5.8738637600754044,0.1362980509925218,3.5942002398296093,-10.366666666666667,0.16666666666666666,-1.5333333333333339,88999.0,106.33333333333333,-1521.6666666666667,51.43333333333334,3.7000000000000006,13.666666666666666,0.20000349769027634,2.219597629196419,4.773883102047865,57.16102180760766,-2.798122935925245,-6.868697314288613,-1.5317787361900412,-0.13628620337138653,-0.26437787099160714,0.0738927917598513
1983-05-24,1,0,1.3178475763483752,1.4314555774158573,0.7792291794192784,3.1502232745541994,0.12650221378873644,5.56057477198417,0.7135575942915422,3.9999999999999973,-10.2,0.10000000000000142,-0.8999999999999986,89364.0,274.0,-786.0,54.2,0.30000000000000426,16.400000000000006,0.23541112804203218,2.1458987129702587,7.046979865771812,88.20058997050147,-3.0964608782610767,-6.908783914498407,-1.5511824128252387,-0.22358652773659138,0.04292879294558993,-0.006439318941837691,0.3251648586708626,-0.8558740113766682,0.7812689166272522,3.1180638074805267,0.39391343061550566,5.783804983405296,0.3059144855277773,3.691657866948253,-10.3,0.06666666666666703,-1.2333333333333332,89123.66666666667,124.66666666666667,-1258.6666666666667,54.166666666666664,2.7333333333333343,16.533333333333335,0.20000349769027634,2.219597629196419,3.2201252709967534,67.177160493427,-2.874326562151107,-6.882094166888703,-1.5401858749666948,-0.04148140400363953,0.021325369622132495,0.026315083445568987
1983-06-23,1,1,1.3178475763483752,1.4314555774158573,0.7792291794192784,3.1502232745541994,0.3036292869806226,5.463661295851912,0.4048582995951474,3.44108446298227,-10.1,0.09999999999999964,-0.6999999999999993,89644.0,280.0,-463.0,56.1,1.8999999999999986,20.6,0.23541112804203218,2.1458987129702587,4.075235109717868,72.91666666666666,-3.3668310924594635,-7.179154128696794,-1.5481268806954809,-0.1453702141983868,-0.1453702141983868,0.12805553212975784,0.3251648586708626,-0.8558740113766682,0.7812689166272522,3.1180638074805267,0.26693508896558304,5.637181801810922,0.4068189034044048,3.6771231912862365,-10.200000000000001,0.10000000000000024,-0.9666666666666662,89366.0,242.33333333333334,-864.3333333333334,54.73333333333333,0.5666666666666677,18.033333333333335,0.20000349769027634,2.219597629196419,5.724012346515539,73.49184846907387,-3.06716756807803,-6.986096732588232,-1.5491688234450984,-0.11089656148247862,-0.022058121255084995,0.07296149596604007
1983-07-13,1,1,1.3178475763483752,1.4314555774158573,0.7792291794192784,3.1502232745541994,0.14424444354150168,5.041873548277111,0.2016129032258093,2.474226804123717,-10.1,0.0,-0.5,90021.0,377.0,156.0,57.5,1.3999999999999986,19.200000000000003,0.23541112804203218,2.1458987129702587,-1.957831325301205,75.94594594594595,-4.249512713821664,-8.061835750058995,-1.4907246374911516,-0.6326816213622006,-0.6326816213622006,0.3074022432043293,0.3251648586708626,-0.8558740113766682,0.7812689166272522,3.1180638074805267,0.19145864810362032,5.355369872037731,0.4400095990374997,3.3051037557019947,-10.133333333333333,0.06666666666666703,-0.6999999999999993,89676.33333333333,310.3333333333333,-364.3333333333333,55.93333333333334,1.2000000000000004,18.733333333333338,0.20000349769027634,2.219597629196419,3.0547945500628244,79.02106752770469,-3.324296902266348,-7.184000439958288,-1.5461499340062568,-0.16824044529942928,-0.10901481848116679,0.091907778327732
1983-08-23,0,1,2.2756124393012738,3.2685328840770245,0.791680761306535,3.1725472085587256,0.4665976913557786,5.006149018277436,0.40241448692152054,2.358974358974356,-9.4,0.6999999999999993,0.40000000000000036,90437.0,416.0,916.0,63.6,6.100000000000001,25.200000000000003,0.23541112804203218,2.1458987129702587,-6.912442396313365,61.6,-4.072327915898924,-7.153879359214002,-1.7769180961179005,0.6771847979227399,1.4079563908449924,0.21380654137325106,1.211135429842648,1.08561076091748,0.7858950820528176,3.150219839210591,0.30482380729263436,5.170561287468819,0.33629522991415906,2.7580952086934474,-9.866666666666667,0.26666666666666633,-0.26666666666666633,90034.0,357.6666666666667,203.0,59.06666666666666,3.133333333333333,21.666666666666668,0.20000349769027634,2.219597629196419,-1.598346203965568,70.1542042042042,-3.915561062299301,-7.541131358123168,-1.602163629614859,-0.22598638225517576,0.008146859612899293,0.3092640821691752
1983-09-08,0,0,2.2756124393012738,3.2685328840770245,0.791680761306535,3.1725472085587256,0.6724148375502259,5.030757562989799,0.40241448692152054,2.358974358974356,-9.5,-0.09999999999999964,0.3000000000000007,90129.0,-308.0,766.0,63.1,-0.5,24.800000000000004,0.23541112804203218,2.1458987129702587,-5.6105610561056105,40.54054054054054,-4.035415098830379,-7.116966542145457,-1.7824550186781822,0.03691281706854532,0.03691281706854532,-0.00553692256028171,1.211135429842648,1.08561076091748,0.7858950820528176,3.150219839210591,0.4277523241491688,5.026260043181449,0.33629522991415906,2.7580952086934474,-9.666666666666666,0.19999999999999987,0.06666666666666703,90195.66666666667,161.66666666666666,612.6666666666666,61.400000000000006,2.3333333333333335,23.066666666666674,0.20000349769027634,2.219597629196419,-4.826944925906727,59.36216216216216,-4.049418295131971,-7.545073641102993,-1.641572287167885,-0.0005238994993357338,0.1293910503535085,0.09392467578030761
1983-10-04,0,0,2.2756124393012738,3.2685328840770245,0.791680761306535,3.1725472085587256,0.5154845956354258,5.089544100994002,0.3006012024048068,2.4564994882292646,-9.2,0.3000000000000007,0.9000000000000004,91247.0,1118.0,2064.0,62.5,-0.6000000000000014,23.700000000000003,0.23541112804203218,2.1458987129702587,6.293706293706294,26.403326403326403,-3.822235291824075,-6.903786735139153,-1.7769319897291274,0.08817980700630379,0.08817980700630379,-0.11947697105094512,1.211135429842648,1.08561076091748,0.7858950820528176,3.150219839210591,0.5514990415138102,5.042150227420412,0.3015428641840456,2.4299002171091124,-9.366666666666667,0.3000000000000001,0.5333333333333338,90604.33333333333,408.6666666666667,1248.6666666666667,63.06666666666667,1.6666666666666667,24.566666666666674,0.20000349769027634,2.219597629196419,-2.076432386237561,42.847955647955644,-4.1447542577743475,-7.4292978102344955,-1.7060219951314928,0.06160848180206813,0.2727202753129412,0.09249473648083484
1983-11-15,0,0,1.9990642943219665,5.737169684511145,0.8083462401043301,3.2038169886043613,0.40508450900964416,5.125044397551351,0.3984063745019835,2.7522935779816544,-8.8,0.3999999999999986,1.5999999999999996,91520.0,273.0,2613.0,64.4,1.9000000000000057,25.000000000000007,0.23541112804203218,2.1458987129702587,3.9473684210526314,31.666666666666664,-3.1818604746608763,-5.67628754564878,-1.9610568681526832,0.6403748171631989,1.2274991894903735,-0.18412487842355585,1.8641747699905384,3.4790527153346757,0.7930853936100478,3.1755291572390956,0.530994647398432,5.081782020511717,0.33290262553570044,2.657451663489618,-9.166666666666666,0.19999999999999987,0.9333333333333336,90965.33333333333,361.0,1814.3333333333333,63.333333333333336,0.2666666666666681,24.500000000000004,0.20000349769027634,2.219597629196419,1.543504552884438,32.870177870177876,-3.8066176446985183,-6.790315025959067,-1.8060360794394736,0.35202550196471716,0.6528716731643165,-0.0861251954190907
