date,target,prev_decision,GDP_diff_prev,PMI_value,Employ_diff_prev,Rsales_diff_year,Unemp_diff_prev,Inertia_diff,Hsales_diff_year,Balanced_diff
1999-12-21,0,1,1.3230270261286137,58.1,347.0,5.470395423203649,0.03333333333333351,0.07400710895724494,1.2969872935125688,0.0784936925436428
2000-02-02,1,0,1.6427790050407824,57.8,297.5,6.152450713986708,0.06666666666666672,0.05338324009419182,-1.0097261293023585,0.09360744083683059
2000-03-21,1,1,1.6427790050407824,55.8,176.0,5.623323345083943,0.0,0.08837252311594312,-0.8056169592565444,0.09821462038471918
2000-05-16,1,1,0.36444736113372717,54.7,382.0,5.008594311655726,0.06666666666666672,0.17287903701022422,-1.9168431203312846,0.18262278968902468
2000-06-28,0,1,0.36444736113372717,53.2,254.5,3.7589113015951776,0.033333333333333215,0.30329560631333496,-2.217154000546336,0.09718162922453111
2000-08-22,0,0,1.820583008355766,52.5,65.5,2.698327841136801,-0.06666666666666672,0.2375425370548756,-3.7395437933876052,0.15259476244296977
2000-10-03,0,0,1.820583008355766,49.9,84.5,1.8446847741563084,-0.033333333333333215,-0.05892986497605435,-4.622439567100848,0.19845064165899728
2000-11-15,0,0,0.09977412825952132,48.7,60.5,2.4531247263370544,0.03333333333333336,-0.026939141460013083,-2.6093723163995586,0.16528451248628429
2000-12-19,0,0,0.09977412825952132,48.5,101.5,1.475030259542629,0.06666666666666658,0.04411068751876979,-1.33968863340366,0.04029361986590363
2001-01-03,-1,0,0.09977412825952132,48.5,101.5,1.475030259542629,0.06666666666666658,0.021207699792268997,-1.33968863340366,0.01538303757922499
2001-01-31,-1,-1,0.5943617551420756,43.9,179.0,-0.2455522602243655,0.0,-0.09643429411321147,0.37769961837239013,0.024095270914116895
2001-03-20,-1,-1,0.5943617551420756,42.1,40.0,-0.3590530528621847,-0.10000000000000009,-0.4376806958527082,1.9611721223321534,-0.06013139263000333
2001-04-11,0,-1,0.5943617551420756,43.1,24.5,-1.7315783443053883,-0.1333333333333333,-0.27085523443742954,1.9650024300442686,-0.03499789201206038
2001-04-18,-1,0,0.5943617551420756,43.1,24.5,-1.7315783443053883,-0.1333333333333333,-0.06462936851074508,1.9650024300442686,-0.012412065963600227
2001-05-15,-1,-1,-0.3242210032234334,42.7,-163.0,-1.0403028289831548,-0.06666666666666672,-0.2858473998159847,3.3377867575860045,-0.07940959344458687
2001-06-27,-1,-1,-0.3242210032234334,41.3,-168.5,0.26233249680402393,-0.033333333333333215,-0.48431577164591433,3.9009702736575016,-0.1516095200116805
2001-08-21,-1,-1,0.621389214865502,43.5,-116.5,-0.4080397027247567,-0.06666666666666643,-0.3770761038383279,6.0645517329951915,-0.25167696000096473
2001-09-13,0,-1,0.621389214865502,46.3,-135.5,0.09323395274782512,-0.20000000000000018,-0.10786590403178486,6.661371336198303,-0.13404051764276215
2001-09-17,-1,0,0.621389214865502,46.3,-135.5,0.09323395274782512,-0.20000000000000018,-0.018532361581701462,6.661371336198303,-0.023284032439311986
2001-10-02,-1,-1,0.621389214865502,46.3,-135.5,0.09323395274782512,-0.20000000000000018,-0.12424130186257809,6.661371336198303,-0.08967986783947524
2001-11-06,-1,-1,-0.4003490160505012,40.8,-287.0,0.551744156990414,-0.2333333333333334,-0.388491669169134,4.117907685771432,-0.2363291734169879
2001-12-11,-1,-1,-0.4003490160505012,44.1,-314.5,3.1129525728696716,-0.19999999999999987,-0.3952569883384438,4.370418307633154,-0.34715997090435424
2002-01-30,0,-1,-0.4003490160505012,45.3,-236.0,1.6636323005761833,-0.2333333333333334,-0.3430842605903155,3.2864894164447698,-0.4119997948391183
2002-03-19,0,0,0.27731435849645614,50.7,-123.0,0.7895262340421398,-0.06666666666666672,-0.10618711714003282,1.0150699808597115,-0.46196584846592703
2002-05-07,0,0,0.8282272155843959,52.4,-56.5,1.318499249490444,-0.06666666666666672,0.07514086534730491,0.08568756153068054,-0.48369400111105376
2002-06-26,0,0,0.8282272155843959,53.1,-41.5,0.590479322324477,-0.033333333333333215,-0.005024204991124881,0.6891261760643644,-0.3309144739367036
2002-08-13,0,0,0.6155024557835769,50.2,-22.0,1.8969920704482317,0.03333333333333351,-0.030948020928617037,1.247937757027159,-0.2853936618581596
2002-09-24,0,0,0.6155024557835769,50.3,-48.5,2.2995800654662073,0.033333333333333215,-0.0017206456740388454,2.495223404913051,-0.2716996108424172
2002-11-06,-1,0,0.40352870399802615,49.0,20.5,-0.36703927020685745,0.033333333333333215,-0.007471575382044682,6.745682891167838,-0.16632115986572127
2002-12-10,0,-1,0.40352870399802615,48.5,57.0,-2.176804936001486,-0.06666666666666672,-0.20633120539830818,7.230892126377072,0.062227758775539765
2003-01-29,0,0,0.40352870399802615,51.6,-78.0,0.19386437071144869,-0.09999999999999994,-0.23169816260447706,7.85213594060956,-0.08654295787809074
