date,fxusdcad_FXUSDCAD_rsi,fomc_statement_sentiment_last_week,canada_bank_sentiment_last_week,fomc_testimony_sentiment_last_week
2017-01-04,1.3315,0.0111111111111111,0.0140977443609022,0.0074418604651162
2017-01-05,1.3244,0.0222222222222222,0.0281954887218045,0.0148837209302325
2017-01-06,1.3214,0.0333333333333333,0.0422932330827067,0.0223255813953488
2017-01-07,1.3222666666666667,0.0444444444444444,0.056390977443609,0.0297674418604651
2017-01-08,1.3231333333333333,0.0555555555555555,0.0704887218045112,0.0372093023255813
2017-01-09,1.324,0.0666666666666666,0.0845864661654135,0.0446511627906976
2017-01-10,1.3213,0.0777777777777777,0.0986842105263157,0.0520930232558139
2017-01-11,1.325,0.0888888888888888,0.112781954887218,0.0595348837209302
2017-01-12,1.3106,0.0999999999999999,0.1268796992481203,0.0669767441860465
2017-01-13,1.3141,0.1111111111111111,0.1409774436090225,0.0744186046511627
2017-01-14,1.314466666666667,0.1222222222222222,0.1550751879699248,0.081860465116279
2017-01-15,1.3148333333333333,0.1333333333333333,0.169172932330827,0.0893023255813953
2017-01-16,1.3152,0.1444444444444444,0.1832706766917293,0.0967441860465116
2017-01-17,1.3057,0.1555555555555555,0.1973684210526315,0.1041860465116279
2017-01-18,1.3099,0.1666666666666666,0.2114661654135338,0.1116279069767442
2017-01-19,1.3303,0.1777777777777777,0.225563909774436,0.1190697674418604
2017-01-20,1.3356,0.1888888888888888,0.225563909774436,0.1265116279069767
2017-01-21,1.3334333333333332,0.1999999999999999,0.225563909774436,0.133953488372093
2017-01-22,1.3312666666666666,0.211111111111111,0.225563909774436,0.1413953488372093
2017-01-23,1.3291,0.2222222222222222,0.225563909774436,0.1488372093023255
2017-01-24,1.3174,0.2333333333333333,0.225563909774436,0.1562790697674418
2017-01-25,1.3088,0.2444444444444444,0.225563909774436,0.1637209302325581
2017-01-26,1.3103,0.2555555555555555,0.2244949579045689,0.1711627906976744
2017-01-27,1.3123,0.2666666666666666,0.2234260060347016,0.1786046511627907
2017-01-28,1.312,0.2777777777777777,0.2223570541648344,0.1860465116279069
2017-01-29,1.3117,0.2888888888888888,0.2212881022949672,0.1934883720930232
2017-01-30,1.3114,0.3,0.2202191504251,0.2009302325581395
2017-01-31,1.303,0.311111111111111,0.2191501985552328,0.2083720930232558
2017-02-01,1.3074,0.3222222222222222,0.2180812466853656,0.2158139534883721
2017-02-02,1.3016,0.3333333333333333,0.2170122948154984,0.2232558139534884
2017-02-03,1.3016,0.3333333333333333,0.2159433429456312,0.2306976744186046
2017-02-04,1.304366666666667,0.3333333333333333,0.214874391075764,0.2381395348837209
2017-02-05,1.3071333333333337,0.3333333333333333,0.2138054392058968,0.2455813953488372
2017-02-06,1.3099,0.3333333333333333,0.2127364873360296,0.2530232558139535
2017-02-07,1.3167,0.3333333333333333,0.2116675354661624,0.2604651162790697
2017-02-08,1.3157,0.3333333333333333,0.2105985835962952,0.267906976744186
2017-02-09,1.3127,0.3341750841750842,0.209529631726428,0.2753488372093023
2017-02-10,1.3084,0.335016835016835,0.2084606798565608,0.2827906976744186
2017-02-11,1.3083333333333331,0.3358585858585858,0.2073917279866936,0.2902325581395349
2017-02-12,1.308266666666667,0.3367003367003366,0.2063227761168264,0.2976744186046511
2017-02-13,1.3082,0.3375420875420875,0.2052538242469592,0.3051162790697674
2017-02-14,1.307,0.3383838383838383,0.204184872377092,0.3125581395348837
2017-02-15,1.3088,0.3392255892255892,0.2031159205072248,0.32
2017-02-16,1.3055,0.3400673400673401,0.2020469686373576,0.32
2017-02-17,1.3102,0.3409090909090909,0.2009780167674904,0.32
2017-02-18,1.31135,0.3417508417508417,0.1999090648976232,0.32
2017-02-19,1.3125,0.3425925925925925,0.198840113027756,0.32
2017-02-20,1.31365,0.3434343434343434,0.1977711611578888,0.32
2017-02-21,1.3148,0.3442760942760943,0.1967022092880216,0.32
2017-02-22,1.3181,0.3451178451178451,0.1956332574181544,0.3178491116642348
2017-02-23,1.311,0.3459595959595959,0.1945643055482872,0.3156982233284696
2017-02-24,1.3095,0.3468013468013468,0.19349535367842,0.3135473349927045
2017-02-25,1.3102666666666667,0.3476430976430976,0.1924264018085528,0.3113964466569393
2017-02-26,1.3110333333333335,0.3484848484848485,0.1913574499386856,0.3092455583211742
2017-02-27,1.3118,0.3493265993265993,0.1902884980688184,0.3070946699854089
2017-02-28,1.3249,0.3501683501683502,0.1892195461989512,0.3049437816496438
2017-03-01,1.3338,0.351010101010101,0.188150594329084,0.3027928933138786
2017-03-02,1.3387,0.3518518518518518,0.1870816424592168,0.3006420049781135
2017-03-03,1.3405,0.3526936026936026,0.1860126905893496,0.2984911166423483
2017-03-04,1.3404666666666667,0.3535353535353535,0.1849437387194824,0.2963402283065831
2017-03-05,1.3404333333333334,0.3543771043771044,0.1838747868496152,0.294189339970818
2017-03-06,1.3404,0.3552188552188552,0.182805834979748,0.2920384516350527
2017-03-07,1.3417,0.3560606060606061,0.1817368831098808,0.2898875632992876
2017-03-08,1.3475,0.3569023569023569,0.1806679312400136,0.2877366749635224
2017-03-09,1.3513,0.3577441077441077,0.1795989793701464,0.2855857866277573
2017-03-10,1.3464,0.3585858585858585,0.1785300275002792,0.2834348982919921
2017-03-11,1.3458333333333334,0.3594276094276094,0.177461075630412,0.2812840099562269
2017-03-12,1.3452666666666666,0.3602693602693603,0.1763921237605448,0.2791331216204618
2017-03-13,1.3447,0.3611111111111111,0.1753231718906776,0.2769822332846966
2017-03-14,1.3484,0.3619528619528619,0.1742542200208104,0.2748313449489314
